Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.017    0.002 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/figure.py:1617(gca)
        1    0.000    0.000    0.017    0.017 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/figure.py:632(add_subplot)
        1    0.000    0.000    0.017    0.017 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:574(__init__)
       18    0.000    0.000    0.016    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1544(_get_tick)
       96    0.002    0.000    0.016    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:2074(_raw_ticks)
       48    0.000    0.000    0.016    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1595(get_major_ticks)
       23    0.000    0.000    0.016    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:352(get_tightbbox)
   229674    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
       48    0.000    0.000    0.013    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1486(get_minorticklocs)
       18    0.000    0.000    0.013    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:58(__init__)
      458    0.001    0.000    0.012    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
       26    0.000    0.000    0.012    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:293(draw)
        4    0.000    0.000    0.012    0.003 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:2294(_update_label_position)
       68    0.001    0.000    0.011    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:738(draw)
        1    0.000    0.000    0.011    0.011 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:1388(clear)
        1    0.000    0.000    0.011    0.011 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:1262(__clear)
  368/327    0.001    0.000    0.011    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2436(get_affine)
        1    0.000    0.000    0.010    0.010 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/image.py:1569(imsave)
        1    0.000    0.000    0.010    0.010 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/PIL/Image.py:2346(save)
       48    0.000    0.000    0.010    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1482(get_majorticklocs)
       14    0.000    0.000    0.009    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/patches.py:582(draw)
        2    0.000    0.000    0.009    0.004 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend.py:708(draw)
      372    0.000    0.000    0.009    0.000 <__array_function__ internals>:177(dot)
       96    0.000    0.000    0.009    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:696(set_locs)
     15/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
        9    0.000    0.000    0.008    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:416(__init__)
     14/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   146003    0.008    0.000    0.008    0.000 {built-in method builtins.id}
     23/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        9    0.000    0.000    0.008    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:477(__init__)
    35/23    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      9/5    0.000    0.000    0.008    0.002 {built-in method builtins.__import__}
    79715    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
     13/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
     12/6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:844(exec_module)
    18890    0.005    0.000    0.008    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:242(_keep_alive)
    63213    0.007    0.000    0.007    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2824(_amin_dispatcher)
      385    0.002    0.000    0.007    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1180(_update_props)
    12700    0.002    0.000    0.007    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:263(<genexpr>)
      267    0.000    0.000    0.007    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:147(<lambda>)
      267    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1227(set)
       53    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:221(get_text_width_height_descent)
        1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/PIL/PngImagePlugin.py:1242(_save)
       96    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:215(format_ticks)
        1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:691(figure)
        1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/PIL/ImageFile.py:499(_save)
        1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/PIL/ImageFile.py:527(_encode_tile)
    62545    0.006    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1245(_argmin_dispatcher)
        1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:381(new_figure_manager)
       60    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:2733(get_tick_space)
        1    0.006    0.006    0.006    0.006 {method 'encode' of 'ImagingEncoder' objects}
      336    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1216(_internal_update)
        5    0.000    0.000    0.006    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:396(get_window_extent)
      130    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/markers.py:228(__init__)
       57    0.001    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:272(__init__)
       51    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:649(union)
     12/2    0.000    0.000    0.006    0.003 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:31(draw_wrapper)
      8/2    0.000    0.000    0.006    0.003 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:407(draw)
       12    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:855(clear)
       84    0.001    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:729(draw)
        2    0.000    0.000    0.006    0.003 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:359(_warn_if_gui_out_of_main_thread)
        5    0.000    0.000    0.006    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:198(_get_backend_mod)
      2/1    0.000    0.000    0.006    0.006 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:212(switch_backend)
      130    0.000    0.000    0.006    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/markers.py:327(_set_marker)
      6/4    0.000    0.000    0.006    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:583(__get__)
9393/6654    0.003    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:319(stale)
      302    0.001    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1467(transform)
       40    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:101(_get_text_metrics_with_cache_impl)
      2/1    0.000    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/importlib/__init__.py:109(import_module)
      3/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1018(_gcd_import)
    22/13    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
        1    0.000    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib_inline/__init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:664(prune)
       12    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1565(_copy_tick_props)
        1    0.000    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:383(get_path)
   6164/1    0.003    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:394(check_in_path)
       13    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:54(get_offset)
    18/11    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:474(_get_bbox_and_child_offsets)
        8    0.000    0.000    0.005    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:918(set_tick_params)
       37    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:1335(update_from)
       13    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:298(get_offset)
        7    0.000    0.000    0.005    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend.py:691(_findoffset)
    32/11    0.000    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:365(get_bbox)
        7    0.000    0.000    0.005    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend.py:1114(_find_best_position)
     2054    0.002    0.000    0.005    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:66(copy)
        1    0.000    0.000    0.005    0.005 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib_inline/backend_inline.py:1(<module>)
      386    0.000    0.000    0.004    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:2204(getter)
    22/13    0.000    0.000    0.004    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:512(<listcomp>)
    18/11    0.000    0.000    0.004    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:485(<listcomp>)
        2    0.000    0.000    0.004    0.002 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:3155(grid)
        4    0.000    0.000    0.004    0.001 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1621(grid)
